Image_ID,Walkability,Preference,Imageability,Complexity,Enclosure,Transparency,Humanscale,Disorder
1,0.176470588235294,0.382352941176471,0.212121212121212,0.424242424242424,0.195121951219512,0.108108108108108,0.444444444444444,0.516129032258065
2,0.472222222222222,0.4,0.411764705882353,0.714285714285714,0.378378378378378,0.633333333333333,0.194444444444444,0.628571428571429
3,0.117647058823529,0.225,0.153846153846154,0.0769230769230769,0.135135135135135,0.03125,0.28125,0.1875
4,0.324324324324324,0.272727272727273,0.25,0.176470588235294,0.25,0.451612903225806,0.351351351351351,0.236842105263158
5,0.225806451612903,0.3125,0.40625,0.181818181818182,0.24390243902439,0.305555555555556,0.394736842105263,0.363636363636364
6,0.142857142857143,0.242424242424242,0.264705882352941,0.153846153846154,0.176470588235294,0.314285714285714,0.324324324324324,0.147058823529412
7,0.121212121212121,0.243243243243243,0.0833333333333333,0.205882352941176,0.15,0.571428571428571,0.27027027027027,0.179487179487179
8,0.171428571428571,0.117647058823529,0.0277777777777778,0.0789473684210526,0.162162162162162,0.0303030303030303,0.285714285714286,0.297297297297297
9,0.272727272727273,0.264705882352941,0.236842105263158,0.205882352941176,0.189189189189189,0.166666666666667,0.314285714285714,0.305555555555556
10,0.3125,0.235294117647059,0.117647058823529,0.176470588235294,0.277777777777778,0.46875,0.317073170731707,0.342857142857143
11,0.15625,0.324324324324324,0.236842105263158,0.228571428571429,0.512820512820513,0.194444444444444,0.303030303030303,0.696969696969697
12,0.352941176470588,0.216216216216216,0.542857142857143,0.605263157894737,0.297297297297297,0.527777777777778,0.261904761904762,0.352941176470588
13,0.225806451612903,0.216216216216216,0.125,0.0294117647058824,0.171428571428571,0,0.307692307692308,0.147058823529412
14,0.484848484848485,0.323529411764706,0.363636363636364,0.5,0.368421052631579,0.424242424242424,0.485714285714286,0.424242424242424
15,0.303030303030303,0.3,0.333333333333333,0.205882352941176,0.432432432432432,0.4375,0.4,0.342857142857143
16,0.225806451612903,0.289473684210526,0.114285714285714,0.138888888888889,0.0789473684210526,0.25,0.515151515151515,0.277777777777778
17,0.258064516129032,0.428571428571429,0.368421052631579,0.285714285714286,0.263157894736842,0.242424242424242,0.428571428571429,0.428571428571429
18,0.272727272727273,0.305555555555556,0.303030303030303,0.368421052631579,0.333333333333333,0.0666666666666667,0.461538461538462,0.675675675675676
19,0.257142857142857,0.111111111111111,0.292682926829268,0.2,0.564102564102564,0.0555555555555556,0.0540540540540541,0.441176470588235
20,0.305555555555556,0.236842105263158,0.580645161290323,0.361111111111111,0.769230769230769,0.466666666666667,0.138888888888889,0.709677419354839
21,0.114285714285714,0.138888888888889,0.0588235294117647,0.176470588235294,0.0540540540540541,0.142857142857143,0.285714285714286,0.153846153846154
22,0.181818181818182,0.315789473684211,0.235294117647059,0.129032258064516,0.125,0.433333333333333,0.189189189189189,0.333333333333333
23,0.303030303030303,0.307692307692308,0.171428571428571,0.157894736842105,0.105263157894737,0,0.243243243243243,0.171428571428571
24,0.117647058823529,0.108108108108108,0.393939393939394,0.382352941176471,0.628571428571429,0.387096774193548,0.184210526315789,0.617647058823529
